Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
30996,2627,714,94,35,9999,0,1413,0,4162,5880,4,4,1478,525,1804,0,0,13,72,62,0,11,70,0,3,1440,1584,1111,886,0,44,28,26,34,15,44,42,36,21,38,0,0,12968,845,0,610,85,695,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
31996,2627,714,94,35,9999,0,1328,0,4162,5527,4,4,1478,525,2000,0,0,59,72,54,0,86,23,0,3,1440,1584,4555,909,0,77,26,31,33,27,16,77,28,23,39,0,0,12968,845,0,610,85,695,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
32997,2627,714,94,35,9999,0,1210,0,4162,5036,4,4,1478,525,2000,0,0,66,72,53,0,114,7,0,3,1440,1584,3768,913,0,57,39,40,37,28,23,31,57,25,28,0,0,12968,845,0,610,85,695,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
33996,2627,714,94,35,9999,0,1284,0,4178,5364,4,4,1478,525,2000,0,0,52,72,54,0,117,10,0,3,1440,1584,3664,920,0,38,28,39,37,40,30,26,38,28,35,0,0,12968,845,0,610,85,695,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
34997,2627,714,94,35,9999,0,1218,0,4178,5088,4,4,1478,525,2000,0,0,61,72,53,0,74,31,0,3,1440,1584,4115,905,0,43,31,28,33,36,21,43,40,19,39,0,0,12968,845,0,610,85,695,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
35996,2627,714,94,35,9999,0,1340,0,4178,5598,4,4,1478,525,2000,0,0,73,72,54,0,134,0,0,3,1440,1584,5293,888,0,40,28,21,33,15,30,30,40,23,47,0,0,12968,845,0,610,85,695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
36997,2627,714,94,35,9999,0,1390,0,4178,5807,4,4,1478,525,2000,0,0,71,72,41,0,50,0,0,3,1440,1584,6376,885,0,50,11,16,28,11,17,21,50,23,51,0,0,12968,845,0,610,85,695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
37997,2627,714,94,35,9999,0,1261,0,4178,5268,4,3,1478,490,2000,0,0,71,72,39,0,0,3,0,3,1440,1584,4602,895,0,33,34,25,27,37,33,33,22,19,41,0,0,12968,845,0,610,85,695,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
38997,2627,714,94,35,9999,0,1264,0,4178,5280,4,3,1478,490,2000,0,0,70,72,37,0,1,4,0,3,1440,1584,4596,918,0,45,34,36,33,33,36,45,38,30,41,0,0,12968,845,0,610,85,695,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
40014,2316,1041,94,35,9999,0,1219,0,4178,5092,4,3,1478,490,2000,0,0,72,72,37,0,9,0,0,3,1440,1584,4714,908,0,30,34,25,26,23,30,23,11,15,41,0,0,13337,1174,0,931,89,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
40997,2316,1041,94,35,9999,0,1221,0,4178,5101,4,3,1478,490,2000,0,0,72,72,38,0,3,2,0,3,1440,1584,4670,901,0,40,39,23,25,27,38,38,40,23,41,0,0,13337,1174,0,931,89,1020,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
41998,2316,1041,94,35,9999,0,1322,0,4178,5523,4,3,1478,490,2000,0,0,73,72,36,0,0,0,0,3,1440,1584,4364,897,0,36,26,28,34,37,33,25,36,23,39,0,0,13337,1174,0,931,89,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
42998,2316,1041,94,35,9999,0,1272,0,4178,5314,4,3,1478,490,2000,0,0,73,72,36,0,0,0,0,3,1440,1584,5418,939,0,47,27,36,28,27,42,47,35,19,44,0,0,13337,1174,0,931,89,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
43997,2316,1041,94,35,9999,0,1239,0,4178,5176,4,3,1478,490,2000,0,0,69,72,38,0,8,5,0,3,1440,1584,4693,914,0,47,36,37,31,26,22,33,47,10,42,0,0,13337,1174,0,931,89,1020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
44997,2316,1041,94,35,9999,0,1218,0,4178,5088,4,3,1478,490,2000,0,0,73,72,36,0,0,0,0,3,1440,1584,4420,903,0,35,28,21,34,28,28,21,35,10,40,0,0,13337,1174,0,931,89,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
45997,2316,1041,94,35,9999,0,1236,0,4178,5164,4,3,1478,490,2000,0,0,72,72,34,0,0,0,0,3,1440,1584,5127,914,0,39,31,28,37,34,31,39,30,19,46,0,0,13337,1174,0,931,89,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
46997,2316,1041,94,35,9999,0,1339,0,4178,5594,4,3,1478,490,2000,0,0,73,72,34,0,0,0,0,3,1440,1584,5956,897,0,26,28,25,23,37,26,19,18,14,49,0,0,13337,1174,0,931,89,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
47997,2316,1041,94,35,9999,0,1350,0,4178,5640,4,3,1478,490,2000,0,0,71,72,35,0,0,2,0,3,1440,1584,4997,900,0,39,23,34,25,30,25,34,39,19,45,0,0,13337,1174,0,931,89,1020,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
48998,2316,1041,94,35,9999,0,1295,0,4178,5410,4,3,1478,490,2000,0,0,72,72,34,0,0,0,0,3,1440,1584,4511,927,0,34,38,33,33,19,21,34,31,19,41,0,0,13337,1174,0,931,89,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
49998,2316,1041,94,35,9999,0,1305,0,4178,5452,4,3,1478,490,2000,0,0,73,72,33,0,0,0,0,3,1440,1584,5228,886,0,31,33,31,30,31,21,31,31,22,45,0,0,13337,1174,0,931,89,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
50998,2316,1041,94,35,9999,0,1342,0,4178,5606,4,3,1478,490,2000,0,0,72,72,34,0,0,2,0,3,1440,1584,4692,919,0,30,31,40,30,38,25,17,30,23,42,0,0,13337,1174,0,931,89,1020,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
51998,2316,1041,94,35,9999,0,1314,0,4178,5489,4,3,1478,490,2000,0,0,69,72,34,0,0,0,0,3,1440,1584,4546,898,0,41,28,28,25,36,36,41,28,14,40,0,0,13337,1174,0,931,89,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
52998,2316,1041,94,35,9999,0,1282,0,4178,5356,4,3,1478,490,2000,0,0,71,72,36,0,9,7,0,3,1440,1584,4835,895,0,43,21,31,28,31,27,15,43,26,42,0,0,13337,1174,0,931,89,1020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
53998,2316,1041,94,35,9999,0,1204,0,4176,5027,4,3,1478,490,300,0,0,72,72,35,0,1,0,0,3,1440,1584,6910,865,0,28,35,38,40,31,13,25,28,11,17,0,0,13337,1174,0,931,89,1020,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
54998,2316,1041,94,35,9999,0,1311,0,4176,5474,4,3,1478,490,1804,0,0,37,72,50,0,39,38,0,3,1440,1584,3851,890,0,33,28,39,28,30,21,33,30,22,41,0,0,13337,1174,0,931,89,1020,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
55998,2316,1041,94,35,9999,0,1351,0,4176,5641,4,3,1478,490,1804,0,0,72,72,36,0,1,1,0,3,1440,1584,5112,900,0,36,25,23,27,23,19,19,36,19,44,0,0,13337,1174,0,931,89,1020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
56998,2316,1041,94,35,9999,0,1317,0,4176,5499,4,3,1478,490,1804,0,0,72,72,35,0,0,0,0,3,1440,1584,5082,900,0,28,27,34,19,21,21,23,28,28,44,0,0,13337,1174,0,931,89,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
